timestamp,match_id,home_team,away_team,signal_minute,signal_probability,match_minute,score,xg_total
2026-03-13T20:36:19.365872,1394662,Fatih Karagümrük,Fenerbahçe,90,72.61014527268397,34,2:0,
2026-03-13T20:39:19.038680,1401342,SC Freiburg W,Nürnberg,45,55.00000000000001,9,0:0,
2026-03-13T20:40:19.083727,1400193,Dinamo Makhachkala,FC Orenburg,90,51.592406753381006,47,1:0,
2026-03-13T20:41:19.015027,1380325,Diosgyori VTK,Kazincbarcikai,90,79.26315789473685,45,0:2,
2026-03-13T20:42:18.998216,1388845,1. FC Magdeburg,SV Darmstadt 98,60,70.0,12,0:0,
2026-03-13T20:43:24.183341,1380607,Nieciecza,Motor Lublin,90,91.00000000000001,43,1:2,
2026-03-13T20:44:24.090492,1401342,SC Freiburg W,Nürnberg,60,53.5425101214575,14,0:0,
2026-03-13T20:45:24.053299,1381734,Chrobry Głogów,Puszcza Niepołomice,90,60.79620563035496,43,0:1,
2026-03-13T20:46:23.999805,1429633,Stellenbosch,TS Galaxy,60,53.55263157894736,16,0:1,
2026-03-13T20:47:24.185264,1410159,Ústí nad Labem,Příbram,90,61.770334928229666,44,0:0,
2026-03-13T20:49:24.052935,1391788,Schwarz-Weiß Bregenz,Admira Wacker,90,85.86842105263159,45,0:3,
2026-03-13T20:50:24.000545,1391789,Austria Klagenfurt,Floridsdorfer AC,90,71.64777327935224,45,0:2,
2026-03-13T21:01:43.786698,1401342,SC Freiburg W,Nürnberg,75,70.0,30,0:0,
2026-03-13T21:05:49.575592,1401342,SC Freiburg W,Nürnberg,90,70.0,34,0:0,
2026-03-13T21:11:49.465380,1394658,Antalyaspor,Gaziantep FK,90,63.93328639324063,46,0:0,
2026-03-13T21:12:49.468508,1388845,1. FC Magdeburg,SV Darmstadt 98,90,64.31463273568536,42,0:0,
2026-03-13T21:15:49.309870,1388841,SpVgg Greuther Fürth,SV Elversberg,90,52.320344129554655,44,1:0,
2026-03-13T21:54:16.846314,1431784,Mérida AD,Guadalajara,90,65.67712550607288,45,0:1,
2026-03-13T21:58:46.673616,1524410,Mamelodi Sundowns,Stade Malien Bamako,90,72.65789473684212,45,1:0,
2026-03-13T22:00:26.925412,1530529,FC Fredericia,Randers FC,90,76.3846153846154,45,0:2,
2026-03-13T23:02:44.332135,1381109,PEC Zwolle,Groningen,90,69.42307692307692,45,0:0,
2026-03-13T23:04:29.610648,1382215,Emmen,ADO Den Haag,90,76.36538461538463,45,0:1,
2026-03-13T23:05:49.405550,1382214,Cambuur,Roda,90,60.22267206477731,45,0:0,
2026-03-13T23:07:29.739094,1382217,Jong PSV U21,FC Eindhoven,90,77.00000000000001,46,1:0,
2026-03-13T23:09:09.742176,1382216,Jong Ajax,Den Bosch,90,94.66826923076924,48,3:1,
2026-03-13T23:16:34.692567,1382220,FC OSS,Willem II,90,81.39892720306516,58,0:3,
2026-03-13T23:19:14.537683,1382222,Waalwijk,Jong AZ,90,50.521796015462385,59,2:1,
2026-03-13T23:28:09.449110,1434556,Arsenal U21,Leicester City U21,90,92.01479289940828,52,1:3,
2026-03-13T23:36:09.814322,1380606,Radomiak Radom,Legia Warszawa,90,84.00000000000001,45,1:1,
2026-03-13T23:48:14.856923,1381742,Wisla Krakow,Miedz Legnica,90,60.20095693779904,55,1:1,
2026-03-13T23:55:14.648514,1378151,Torino,Parma,90,78.66775777414075,47,1:1,
2026-03-13T23:56:29.386506,1383006,Morton,Partick,90,70.34038652509356,53,1:1,
2026-03-13T23:58:09.452826,1386431,Colchester,Crawley Town,90,51.720647773279346,54,0:0,
2026-03-13T23:59:29.302322,1492642,Derry City,Shelbourne,90,86.44230769230772,52,1:2,
2026-03-14T00:01:09.497733,1382651,Gent,Zulte Waregem,90,70.18876518218623,44,1:0,
2026-03-14T00:02:29.432031,1492643,Dundalk,Waterford,90,64.13157894736841,60,2:0,
2026-03-14T00:04:09.717306,1492645,St Patrick's Athl.,Drogheda United,90,52.005323653962485,58,1:1,
2026-03-14T00:05:49.873348,1492843,Finn Harps,Treaty United,90,58.38421052631578,60,0:2,
2026-03-14T00:07:50.052318,1386996,Wrexham,Swansea,90,66.79605263157895,48,1:0,
2026-03-14T00:16:14.841765,1492644,Sligo Rovers,Shamrock Rovers,90,57.30187537810043,58,0:2,
2026-03-14T00:17:54.925676,1512538,FC Cajamarca,Comerciantes Unidos,90,60.02558975121419,59,2:1,
2026-03-14T00:19:14.827812,1513426,ASO Chlef,Mostaganem,60,65.1640741529938,19,0:0,
2026-03-14T00:25:24.980314,1513427,CS Constantine,Ben Aknoun,60,63.87218045112781,21,0:0,
2026-03-14T00:26:29.302008,1513433,JS Saoura,MC Oran,60,66.05263157894737,20,0:0,
2026-03-14T00:40:12.311135,1513426,ASO Chlef,Mostaganem,90,65.8173076923077,40,0:0,
2026-03-14T00:44:06.744660,1513427,CS Constantine,Ben Aknoun,90,70.0,40,0:0,
2026-03-14T00:46:06.647108,1513433,JS Saoura,MC Oran,90,77.00000000000001,40,1:0,
